sep=;
Version CSV1|Tool CLUSTERCONTROLLER|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 2

;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035041 (SI80HRNT SN:1261035041);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035046 (SI80HRNT SN:1261035046);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 1261035123 (SI80HRNT SN:1261035123);SN: 14625 (SENS0700 SN:14625);SN: 14625 (SENS0700 SN:14625);SN: 14625 (SENS0700 SN:14625);SN: 14625 (SENS0700 SN:14625);SN: 14625 (SENS0700 SN:14625);SN: 14625 (SENS0700 SN:14625);SN: 14625 (SENS0700 SN:14625);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246358 (SN: 1901246358);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901246408 (SN: 1901246408);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901262903 (SN: 1901262903);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901263147 (SN: 1901263147);SN: 1901501309 (Com Gateway SN: 1901501309)
01.06.2019 05:55;1028,95;114;99,03;96,49;0,00;0;51,1;;;;;;;;;;;0,31;0;0;0,062;0,062;0,1;0,1;0,066;0,066;;;Ok;NonePrio;None;None;0;0;0;2,09;0;0,00;2;135,10;0;51,5;0,6;0;0;0,079;0,079;0,093;0,093;0,1;0,1;Ok;0,00;2;135,20;0;51,9;0,04;0;0;0;0;0,1;0,1;0;0;Ok;0,30;2;136,40;0;49,9;0,3;0;0;0,1;0,1;0,1;0,1;0,1;0,1;Ok;;;;;Ok;;;837,64;102;71,33;69,47;0,00;;;;0,00;;;;;;-0,01;-0,01;-0,01;;;;;;;;;Ok;NonePrio;None;None;107,94;6;9,33;9,18;0,00;13964;49,95;1,00;1146,92;762,97;762,9;14,081;4,731;14,692;227,2;234,43;234,45;20,058;20,058;20,033;20,033;20,093;20,093;10739;3607;Ok;NonePrio;None;None;47,70;3;9,26;8,97;0,00;7667;49,95;1,00;2535,06;744,46;187,94;9,408;4,608;9,726;227,46;234,75;234,74;11,004;11,004;10,976;10,976;11,028;11,028;7002;863;Ok;NonePrio;None;None;35,67;3;9,11;8,88;0,00;3463;49,95;8,00;2274,83;578,53;309,92;4,232;3,423;4,954;227,27;234,6;234,82;4,969;4,969;4,965;4,965;4,984;4,984;2441;1054;Ok;NonePrio;None;None;Ok
01.06.2019 06:00;1028,95;114;99,03;96,49;0,00;0;51,1;;;;;;;;;;;0,31;0;0;0,059;0,059;0,097;0,097;0,066;0,066;;;Ok;NonePrio;None;None;0;0;0;2,09;0;0,00;2;135,20;0;51,5;0,6;0;0;0,086;0,086;0,086;0,086;0,1;0,1;Ok;0,00;2;135,30;0;51,9;0,03;0;0;0;0;0,1;0,1;0,007;0,007;Ok;0,30;2;136,50;0;49,9;0,3;0;0;0,1;0,1;0,1;0,1;0,1;0,1;Ok;;;;;Ok;;;837,64;102;71,33;69,47;0,00;;;;0,00;;;;;;-0,01;-0,01;-0,01;;;;;;;;;Ok;NonePrio;None;None;107,94;6;9,33;9,18;0,00;13964;49,95;1,00;1146,92;762,97;762,9;14,081;4,731;14,692;227,2;234,43;234,45;20,058;20,058;20,033;20,033;20,093;20,093;10739;3607;Ok;NonePrio;None;None;47,70;3;9,26;8,97;0,00;7667;49,95;1,00;2535,06;744,46;187,94;9,408;4,608;9,726;227,46;234,75;234,74;11,004;11,004;10,976;10,976;11,028;11,028;7002;863;Ok;NonePrio;None;None;35,67;3;9,11;8,88;0,00;3463;49,95;8,00;2274,83;578,53;309,92;4,232;3,423;4,954;227,27;234,6;234,82;4,969;4,969;4,965;4,965;4,984;4,984;2441;1054;Ok;NonePrio;None;None;Ok
01.06.2019 06:05;1028,95;114;99,03;96,49;0,00;0;51,1;;;;;;;;;;;0,31;0;0;0,062;0,062;0,095;0,095;0,069;0,069;;;Ok;NonePrio;None;None;0;0;0;2,09;0;0,00;2;135,30;0;51,5;0,6;0;0;0,029;0,029;0,093;0,093;0,1;0,1;Ok;0,00;2;135,40;0;51,9;0,09;0;0;0;0;0,1;0,1;0,007;0,007;Ok;0,30;2;136,60;0;49,9;0,3;0;0;0,1;0,1;0,1;0,1;0,1;0,1;Ok;;;;;Ok;;;837,64;102;71,33;69,47;0,00;;;;0,00;;;;;;-0,01;-0,01;-0,01;;;;;;;;;Ok;NonePrio;None;None;107,94;6;9,33;9,18;0,00;13964;49,95;1,00;1146,92;762,97;762,9;14,081;4,731;14,692;227,2;234,43;234,45;20,058;20,058;20,033;20,033;20,093;20,093;10739;3607;Ok;NonePrio;None;None;47,70;3;9,26;8,97;0,00;7667;49,95;1,00;2535,06;744,46;187,94;9,408;4,608;9,726;227,46;234,75;234,74;11,004;11,004;10,976;10,976;11,028;11,028;7002;863;Ok;NonePrio;None;None;35,67;3;9,11;8,88;0,00;3463;49,95;8,00;2274,83;578,53;309,92;4,232;3,423;4,954;227,27;234,6;234,82;4,969;4,969;4,965;4,965;4,984;4,984;2441;1054;Ok;NonePrio;None;None;Ok
01.06.2019 06:10;1028,95;114;99,03;96,49;0,00;0;51,1;;;;;;;;;;;0,33;0;0;0,043;0,043;0,097;0,097;0,069;0,069;;;Ok;NonePrio;None;None;0;0;0;2,09;0;0,00;2;135,40;0;51,5;0,6;0;0;0,079;0,079;0,1;0,1;0,1;0,1;Ok;0,00;2;135,50;0;51,9;0,1;0;0;0;0;0,1;0,1;0,05;0,05;Ok;0,30;2;136,70;0;49,9;0,3;0;0;0,1;0,1;0,1;0,1;0,1;0,1;Ok;;;;;Ok;;;837,64;102;71,33;69,47;0,00;;;;0,00;;;;;;-0,01;-0,01;-0,01;;;;;;;;;Ok;NonePrio;None;None;107,94;6;9,33;9,18;0,00;13964;49,95;1,00;1146,92;762,97;762,9;14,081;4,731;14,692;227,2;234,43;234,45;20,058;20,058;20,033;20,033;20,093;20,093;10739;3607;Ok;NonePrio;None;None;47,70;3;9,26;8,97;0,00;7667;49,95;1,00;2535,06;744,46;187,94;9,408;4,608;9,726;227,46;234,75;234,74;11,004;11,004;10,976;10,976;11,028;11,028;7002;863;Ok;NonePrio;None;None;35,67;3;9,11;8,88;0,00;3463;49,95;8,00;2274,83;578,53;309,92;4,232;3,423;4,954;227,27;234,6;234,82;4,969;4,969;4,965;4,965;4,984;4,984;2441;1054;Ok;NonePrio;None;None;Ok
01.06.2019 06:15;1028,95;114;99,03;96,49;0,00;0;51,1;;;;;;;;;;;0,33;0;0;0,059;0,059;0,1;0,1;0,083;0,083;;;Ok;NonePrio;None;None;0;0;0;2,09;0;0,00;2;135,40;0;51,5;0,6;0;0;0,057;0,057;0,093;0,093;0,1;0,1;Ok;0,00;2;135,50;0;51,9;0,05;0;0;0;0;0,1;0,1;0,014;0,014;Ok;0,30;2;136,80;0;49,9;0,3;0;0;0,1;0,1;0,1;0,1;0,1;0,1;Ok;;;;;Ok;;;837,64;102;71,33;69,47;0,00;;;;0,00;;;;;;-0,01;-0,01;-0,01;;;;;;;;;Ok;NonePrio;None;None;107,94;6;9,33;9,18;0,00;13964;49,95;1,00;1146,92;762,97;762,9;14,081;4,731;14,692;227,2;234,43;234,45;20,058;20,058;20,033;20,033;20,093;20,093;10739;3607;Ok;NonePrio;None;None;47,70;3;9,26;8,97;0,00;7667;49,95;1,00;2535,06;744,46;187,94;9,408;4,608;9,726;227,46;234,75;234,74;11,004;11,004;10,976;10,976;11,028;11,028;7002;863;Ok;NonePrio;None;None;35,67;3;9,11;8,88;0,00;3463;49,95;8,00;2274,83;578,53;309,92;4,232;3,423;4,954;227,27;234,6;234,82;4,969;4,969;4,965;4,965;4,984;4,984;2441;1054;Ok;NonePrio;None;None;Ok
01.06.2019 06:20;1028,95;114;99,03;96,49;0,00;0;51,1;;;;;;;;;;;0,31;0;0;0,052;0,052;0,097;0,097;0,071;0,071;;;Ok;NonePrio;None;None;0;0;0;2,09;0;0,00;2;135,50;0;51,5;0,6;0;0;0,072;0,072;0,1;0,1;0,1;0,1;Ok;0,00;2;135,60;0;51,9;0,07;0;0;0;0;0,1;0,1;0,022;0,022;Ok;0,30;2;136,80;0;49,9;0,3;0;0;0,1;0,1;0,1;0,1;0,1;0,1;Ok;;;;;Ok;;;837,64;102;71,33;69,47;0,00;;;;0,00;;;;;;-0,01;-0,01;-0,01;;;;;;;;;Ok;NonePrio;None;None;107,94;6;9,33;9,18;0,00;13964;49,95;1,00;1146,92;762,97;762,9;14,081;4,731;14,692;227,2;234,43;234,45;20,058;20,058;20,033;20,033;20,093;20,093;10739;3607;Ok;NonePrio;None;None;47,70;3;9,26;8,97;0,00;7667;49,95;1,00;2535,06;744,46;187,94;9,408;4,608;9,726;227,46;234,75;234,74;11,004;11,004;10,976;10,976;11,028;11,028;7002;863;Ok;NonePrio;None;None;35,67;3;9,11;8,88;0,00;3463;49,95;8,00;2274,83;578,53;309,92;4,232;3,423;4,954;227,27;234,6;234,82;4,969;4,969;4,965;4,965;4,984;4,984;2441;1054;Ok;NonePrio;None;None;Ok
01.06.2019 06:25;1028,95;114;99,03;96,49;0,00;0;51,1;;;;;;;;;;;0,32;0;0;0,057;0,057;0,1;0,1;0,074;0,074;;;Ok;NonePrio;None;None;0;0;0;2,09;0;0,00;2;135,60;0;51,5;0,6;0;0;0,043;0,043;0,1;0,1;0,1;0,1;Ok;0,00;2;135,70;0;51,9;0,06;0;0;0;0;0,1;0,1;0;0;Ok;0,30;2;136,90;0;49,9;0,3;0;0;0,1;0,1;0,1;0,1;0,1;0,1;Ok;;;;;Ok;;;837,64;102;71,33;69,47;0,00;;;;0,00;;;;;;-0,01;-0,01;-0,01;;;;;;;;;Ok;NonePrio;None;None;107,94;6;9,33;9,18;0,00;13964;49,95;1,00;1146,92;762,97;762,9;14,081;4,731;14,692;227,2;234,43;234,45;20,058;20,058;20,033;20,033;20,093;20,093;10739;3607;Ok;NonePrio;None;None;47,70;3;9,26;8,97;0,00;7667;49,95;1,00;2535,06;744,46;187,94;9,408;4,608;9,726;227,46;234,75;234,74;11,004;11,004;10,976;10,976;11,028;11,028;7002;863;Ok;NonePrio;None;None;35,67;3;9,11;8,88;0,00;3463;49,95;8,00;2274,83;578,53;309,92;4,232;3,423;4,954;227,27;234,6;234,82;4,969;4,969;4,965;4,965;4,984;4,984;2441;1054;Ok;NonePrio;None;None;Ok
01.06.2019 06:30;1028,95;114;99,03;96,49;0,00;0;51,1;;;;;;;;;;;0,32;0;0;0,047;0,047;0,1;0,1;0,066;0,066;;;Ok;NonePrio;None;None;0;0;0;2,09;0;0,00;2;135,70;0;51,5;0,6;0;0;0,064;0,064;0,1;0,1;0,1;0,1;Ok;0,00;2;135,80;0;51,9;0,08;0;0;0;0;0,1;0,1;0;0;Ok;0,30;2;137,00;0;49,9;0,29;0;0;0,1;0,1;0,1;0,1;0,1;0,1;Ok;;;;;Ok;;;837,64;102;71,33;69,47;0,00;;;;0,00;;;;;;-0,01;-0,01;-0,01;;;;;;;;;Ok;NonePrio;None;None;107,94;6;9,33;9,18;0,00;13964;49,95;1,00;1146,92;762,97;762,9;14,081;4,731;14,692;227,2;234,43;234,45;20,058;20,058;20,033;20,033;20,093;20,093;10739;3607;Ok;NonePrio;None;None;47,70;3;9,26;8,97;0,00;7667;49,95;1,00;2535,06;744,46;187,94;9,408;4,608;9,726;227,46;234,75;234,74;11,004;11,004;10,976;10,976;11,028;11,028;7002;863;Ok;NonePrio;None;None;35,67;3;9,11;8,88;0,00;3463;49,95;8,00;2274,83;578,53;309,92;4,232;3,423;4,954;227,27;234,6;234,82;4,969;4,969;4,965;4,965;4,984;4,984;2441;1054;Ok;NonePrio;None;None;Ok
01.06.2019 06:35;1028,95;114;98,90;96,49;0,00;0;51,1;0,00;3000,00;;;;;;;;;0,32;0;0;0,054;0,054;0,1;0,1;0,066;0,066;;;Ok;NonePrio;None;None;0;0;0;2,09;0;0,00;2;135,80;0;51,5;0,6;0;0;0,1;0,1;0,086;0,086;0,1;0,1;Ok;0,00;2;135,90;0;51,9;0,02;0;0;0;0;0,1;0,1;0;0;Ok;0,30;2;137,10;0;49,9;0,3;0;0;0,1;0,1;0,1;0,1;0,1;0,1;Ok;;;;;Ok;;;837,64;103;71,20;69,47;0,00;0;49,87;2,00;1470,29;752,37;705,17;0;0;0;215,5;225,71;231,46;0;0;0;0;0;0;0;0;Ok;NonePrio;None;None;107,94;6;9,33;9,18;0,00;13964;49,95;1,00;1146,92;762,97;762,9;14,081;4,731;14,692;227,2;234,43;234,45;20,058;20,058;20,033;20,033;20,093;20,093;10739;3607;Ok;NonePrio;None;None;47,70;3;9,26;8,97;0,00;7667;49,95;1,00;2535,06;744,46;187,94;9,408;4,608;9,726;227,46;234,75;234,74;11,004;11,004;10,976;10,976;11,028;11,028;7002;863;Ok;NonePrio;None;None;35,67;3;9,11;8,88;0,00;3463;49,95;8,00;2274,83;578,53;309,92;4,232;3,423;4,954;227,27;234,6;234,82;4,969;4,969;4,965;4,965;4,984;4,984;2441;1054;Ok;NonePrio;None;None;Ok
01.06.2019 06:40;1028,95;115;98,99;96,55;0,00;0;49,87;10,00;1453,69;752,37;705,17;0;0;;;;;215,5;225,71;231,46;0;0;0;0;0;0;0;0;Ok;NonePrio;None;None;0;0;0;2,09;0;0,00;2;135,90;0;51,5;0,6;0;0;0,093;0,093;0,072;0,072;0,1;0,1;Ok;0,00;2;136,00;0;51,9;0,04;0;0;0;0;0,1;0,1;0;0;Ok;0,30;2;137,20;0;49,9;0,3;0;0;0,1;0,1;0,1;0,1;0,093;0,093;Ok;;;;;Ok;;;837,65;104;71,29;69,53;0,00;27;50;10,00;1453,69;610,13;561,66;0,09;0,03;0,147;216,31;225,73;230,94;0,126;0,126;0,186;0,186;0,201;0,201;50;14;Ok;NonePrio;None;None;107,94;6;9,33;9,18;0,00;13964;49,95;1,00;1146,92;762,97;762,9;14,081;4,731;14,692;227,2;234,43;234,45;20,058;20,058;20,033;20,033;20,093;20,093;10739;3607;Ok;NonePrio;None;None;47,70;3;9,26;8,97;0,00;7667;49,95;1,00;2535,06;744,46;187,94;9,408;4,608;9,726;227,46;234,75;234,74;11,004;11,004;10,976;10,976;11,028;11,028;7002;863;Ok;NonePrio;None;None;35,67;3;9,11;8,88;0,00;3463;49,95;8,00;2274,83;578,53;309,92;4,232;3,423;4,954;227,27;234,6;234,82;4,969;4,969;4,965;4,965;4,984;4,984;2441;1054;Ok;NonePrio;None;None;Ok
01.06.2019 06:45;1028,96;116;99,07;96,64;0,00;27;50;1,00;1453,69;610,13;561,66;0,09;0,03;;;;;216,31;225,73;230,94;0,126;0,126;0,186;0,186;0,201;0,201;50;14;Ok;NonePrio;None;None;0;0;0;2,09;0;0,00;2;135,90;0;51,5;0,6;0;0;0,093;0,093;0,1;0,1;0,1;0,1;Ok;0,00;2;136,00;0;51,9;0,07;0;0;0;0;0,1;0,1;0;0;Ok;0,30;2;137,30;0;49,9;0,3;0;0;0,1;0,1;0,1;0,1;0,1;0,1;Ok;;;;;Ok;;;837,65;104;71,37;69,61;0,00;84;49,91;2,00;1453,69;597,21;506,94;0,184;0,066;0,212;215,54;225,15;230,94;0,194;0,194;0,284;0,284;0,286;0,286;109;32;Ok;NonePrio;None;None;107,94;6;9,33;9,18;0,00;13964;49,95;1,00;1146,92;762,97;762,9;14,081;4,731;14,692;227,2;234,43;234,45;20,058;20,058;20,033;20,033;20,093;20,093;10739;3607;Ok;NonePrio;None;None;47,70;3;9,26;8,97;0,00;7667;49,95;1,00;2535,06;744,46;187,94;9,408;4,608;9,726;227,46;234,75;234,74;11,004;11,004;10,976;10,976;11,028;11,028;7002;863;Ok;NonePrio;None;None;35,67;3;9,11;8,88;0,00;3463;49,95;8,00;2274,83;578,53;309,92;4,232;3,423;4,954;227,27;234,6;234,82;4,969;4,969;4,965;4,965;4,984;4,984;2441;1054;Ok;NonePrio;None;None;Ok
01.06.2019 06:50;1028,97;116;99,15;96,72;0,00;84;49,91;1,00;1453,69;597,21;506,94;0,184;0,066;;;;;215,54;225,15;230,94;0,194;0,194;0,284;0,284;0,286;0,286;109;32;Ok;NonePrio;None;None;0;0;0;2,09;0;0,00;2;136,00;0;51,5;0,6;0;0;0,093;0,093;0,064;0,064;0,1;0,1;Ok;0,00;2;136,10;0;51,9;0,06;0;0;0;0;0,1;0,1;0,014;0,014;Ok;0,30;2;137,30;0;49,9;0,29;0;0;0,1;0,1;0,1;0,1;0,1;0,1;Ok;;;;;Ok;;;837,66;104;71,45;69,69;0,00;115;50,02;1,00;1453,69;685,77;621,35;0,242;0,09;0,275;216,09;225,31;231,2;0,222;0,222;0,302;0,302;0,286;0,286;165;54;Ok;NonePrio;None;None;107,94;6;9,33;9,18;0,00;13964;49,95;1,00;1146,92;762,97;762,9;14,081;4,731;14,692;227,2;234,43;234,45;20,058;20,058;20,033;20,033;20,093;20,093;10739;3607;Ok;NonePrio;None;None;47,70;3;9,26;8,97;0,00;7667;49,95;1,00;2535,06;744,46;187,94;9,408;4,608;9,726;227,46;234,75;234,74;11,004;11,004;10,976;10,976;11,028;11,028;7002;863;Ok;NonePrio;None;None;35,67;3;9,11;8,88;0,00;3463;49,95;8,00;2274,83;578,53;309,92;4,232;3,423;4,954;227,27;234,6;234,82;4,969;4,969;4,965;4,965;4,984;4,984;2441;1054;Ok;NonePrio;None;None;Ok
01.06.2019 06:55;1028,99;116;99,24;96,80;0,00;115;50,02;1,00;1453,69;685,77;621,35;0,242;0,09;;;;;216,09;225,31;231,2;0,222;0,222;0,302;0,302;0,286;0,286;165;54;Ok;NonePrio;None;None;0;0;0;2,09;0;0,00;2;136,10;0;51,5;0,6;0;0;0,1;0,1;0,043;0,043;0,1;0,1;Ok;0,00;2;136,20;0;51,9;0,07;0;0;0;0;0,1;0,1;0;0;Ok;0,30;2;137,40;0;49,9;0,3;0;0;0,1;0,1;0,114;0,114;0,1;0,1;Ok;;;;;Ok;;;837,68;104;71,54;69,78;0,00;196;50,05;1,00;1453,69;715,99;667,61;0,309;0,121;0,343;216,34;225,71;231,66;0,309;0,309;0,378;0,378;0,354;0,354;220;80;Ok;NonePrio;None;None;107,94;6;9,33;9,18;0,00;13964;49,95;1,00;1146,92;762,97;762,9;14,081;4,731;14,692;227,2;234,43;234,45;20,058;20,058;20,033;20,033;20,093;20,093;10739;3607;Ok;NonePrio;None;None;47,70;3;9,26;8,97;0,00;7667;49,95;1,00;2535,06;744,46;187,94;9,408;4,608;9,726;227,46;234,75;234,74;11,004;11,004;10,976;10,976;11,028;11,028;7002;863;Ok;NonePrio;None;None;35,67;3;9,11;8,88;0,00;3463;49,95;8,00;2274,83;578,53;309,92;4,232;3,423;4,954;227,27;234,6;234,82;4,969;4,969;4,965;4,965;4,984;4,984;2441;1054;Ok;NonePrio;None;None;Ok
01.06.2019 07:00;1029,01;116;99,32;96,89;0,00;196;50,05;1,00;1453,69;715,99;667,61;0,309;0,121;;;;;216,34;225,71;231,66;0,309;0,309;0,378;0,378;0,354;0,354;220;80;Ok;NonePrio;None;None;0;0;0;2,09;0;0,00;2;136,20;0;51,5;0,6;0;0;0,1;0,1;0,064;0,064;0,1;0,1;Ok;0,00;2;136,30;0;51,9;0,08;0;0;0;0;0,1;0,1;0,007;0,007;Ok;0,30;2;137,50;0;49,9;0,29;0;0;0,1;0,1;0,2;0,2;0,1;0,1;Ok;;;;;Ok;;;837,70;104;71,62;69,86;0,00;282;49,92;1,00;1453,69;667,97;716,03;0,41;0,148;0,444;216,41;226,08;231,86;0,423;0,423;0,488;0,488;0,459;0,459;272;105;Ok;NonePrio;None;None;107,94;6;9,33;9,18;0,00;13964;49,95;1,00;1146,92;762,97;762,9;14,081;4,731;14,692;227,2;234,43;234,45;20,058;20,058;20,033;20,033;20,093;20,093;10739;3607;Ok;NonePrio;None;None;47,70;3;9,26;8,97;0,00;7667;49,95;1,00;2535,06;744,46;187,94;9,408;4,608;9,726;227,46;234,75;234,74;11,004;11,004;10,976;10,976;11,028;11,028;7002;863;Ok;NonePrio;None;None;35,67;3;9,11;8,88;0,00;3463;49,95;8,00;2274,83;578,53;309,92;4,232;3,423;4,954;227,27;234,6;234,82;4,969;4,969;4,965;4,965;4,984;4,984;2441;1054;Ok;NonePrio;None;None;Ok
